name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Elephant Moraine A79010;10010;Valid;L6;287.3;Found;01.01.1979;-76.291670;157.222500;(-76.291670, 157.222500)
Dar al Gani 1004;5621;Valid;H5;287;Found;01.01.1999;27.258500;16.092330;(27.258500, 16.092330)
Dar al Gani 119;5669;Valid;H5;287;Found;01.01.1996;27.133000;16.039500;(27.133000, 16.039500)
Dar al Gani 018;5534;Valid;H5;287;Found;01.01.1995;27.092000;16.300000;(27.092000, 16.300000)
Adrar 003;383;Valid;L/LL3.10;287;Found;01.01.1990;27.133330;0.200000;(27.133330, 0.200000)
Acfer 115;124;Valid;H6;287;Found;01.01.1990;27.733330;4.166670;(27.733330, 4.166670)
Nieder Finow;16971;Valid;Iron, IAB complex;287;Found;01.01.1950;52.833330;13.933330;(52.833330, 13.933330)
Yamato 790175;25524;Valid;H5;286.89999999999998;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Allan Hills 84080;682;Valid;L6;286.8;Found;01.01.1984;-76.897220;156.885300;(-76.897220, 156.885300)
Yamato 793403;28752;Valid;H4;286.8;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Queen Alexandra Range 02160;18973;Valid;LL5;286.60000000000002;Found;01.01.2002;-84.000000;168.000000;(-84.000000, 168.000000)
Elephant Moraine 87580;8130;Valid;L6;286.5;Found;01.01.1987;-76.268620;156.520220;(-76.268620, 156.520220)
Sayh al Uhaymir 276;23449;Valid;H6;286.41000000000003;Found;01.01.2002;20.100170;56.837750;(20.100170, 56.837750)
Sayh al Uhaymir 434;45926;Valid;H~5;286.10000000000002;Found;01.01.2001;21.089080;57.272650;(21.089080, 57.272650)
Shalim 001;23514;Valid;LL6;286;Found;01.01.2000;18.185000;55.110000;(18.185000, 55.110000)
Dar al Gani 895;6442;Valid;H4;286;Found;01.01.2000;27.133330;16.116670;(27.133330, 16.116670)
El Blida 002;7792;Valid;H6;286;Found;01.01.1998;29.916670;-5.416670;(29.916670, -5.416670)
Jiddat al Harasis 506;50919;Valid;H5;2850.3;Found;01.01.2008;19.674950;55.647430;(19.674950, 55.647430)
Lewis Cliff 93800;14524;Valid;L5;285.89999999999998;Found;01.01.1993;-84.262650;161.449650;(-84.262650, 161.449650)
Queen Alexandra Range 93038;19127;Valid;H5;285.89999999999998;Found;01.01.1993;-84.623720;161.904510;(-84.623720, 161.904510)
Queen Alexandra Range 93039;19128;Valid;L5;285.89999999999998;Found;01.01.1993;-84.630310;162.002250;(-84.630310, 162.002250)
Asuka 87173;2530;Valid;L6;285.83;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
Pecora Escarpment 82509;18272;Valid;L6;285.60000000000002;Found;01.01.1982;-85.674020;-68.190900;(-85.674020, -68.190900)
Asuka 881096;3805;Valid;L3.1;285.52;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Grove Mountains 021712;46791;Valid;L5;285.3;Found;01.01.2003;-72.790280;75.295000;(-72.790280, 75.295000)
Dar al Gani 572;6119;Valid;H5;285;Found;01.01.1998;27.344500;16.302500;(27.344500, 16.302500)
Dar al Gani 293;5841;Valid;L6;285;Found;01.01.1997;27.102500;16.134000;(27.102500, 16.134000)
Allan Hills 83007;527;Valid;LL3.4;285;Found;01.01.1983;-76.768060;159.339440;(-76.768060, 159.339440)
Yamato 791680;27029;Valid;L4;284.98;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Elephant Moraine 96038;9632;Valid;L6;284.89999999999998;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Sayh al Uhaymir 191;23364;Valid;H6;284.83;Found;01.01.2002;20.965950;57.324550;(20.965950, 57.324550)
Jiddat al Harasis 576;51918;Valid;H5/6;284.60000000000002;Found;01.01.2009;19.748680;56.320080;(19.748680, 56.320080)
Dhofar 391;7173;Valid;H5/6;284;Found;01.01.2001;19.107420;54.819500;(19.107420, 54.819500)
Queen Alexandra Range 99452;21898;Valid;L5;284;Found;01.01.1999;-84.000000;168.000000;(-84.000000, 168.000000)
Tanezrouft 043;23844;Valid;H4/5;284;Found;01.01.1992;25.458610;-0.138060;(25.458610, -0.138060)
Hughes 005;11929;Valid;Howardite;284;Found;01.01.1991;-30.602670;129.575280;(-30.602670, 129.575280)
Crab Hole;5460;Valid;L6;284;Found;01.01.1980;-30.400000;127.433330;(-30.400000, 127.433330)
Jiddat al Harasis 409;48560;Valid;Eucrite;283.60399999999998;Found;01.01.2007;19.676780;56.603920;(19.676780, 56.603920)
Yamato 791107;26456;Valid;L5;283.55;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Nora Creina;16990;Valid;L4;283.5;Found;01.01.1962;-37.316670;139.850000;(-37.316670, 139.850000)
Allan Hills 84078;680;Valid;H5;283.3;Found;01.01.1984;-77.023800;157.010720;(-77.023800, 157.010720)
Schenectady;23458;Valid;H5;283.3;Fell;01.01.1968;42.860830;-73.950280;(42.860830, -73.950280)
Yamato 791316;26665;Valid;L6;283.11;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 791501;26850;Valid;H4;283.10000000000002;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Dhofar 399;7181;Valid;L6;283;Found;01.01.2001;18.220900;54.701180;(18.220900, 54.701180)
Dhofar 564;7325;Valid;H5;283;Found;01.01.2001;18.718630;54.379520;(18.718630, 54.379520)
Dhofar 705;7461;Valid;L6;283;Found;01.01.2001;18.816670;54.261670;(18.816670, 54.261670)
Acfer 062;71;Valid;H5;283;Found;01.01.1989;27.600000;4.416670;(27.600000, 4.416670)
Grove Mountains 021670;46562;Valid;L5;282.39999999999998;Found;01.01.2003;-72.778610;75.331670;(-72.778610, 75.331670)
Patuxent Range 91509;18128;Valid;L5;282.39999999999998;Found;01.01.1991;-85.095650;-65.436770;(-85.095650, -65.436770)
Elephant Moraine 83239;7880;Valid;L6;282.3;Found;01.01.1983;-76.275830;157.195550;(-76.275830, 157.195550)
Grove Mountains 98003;11396;Valid;Iron, IAB-ung;282.2;Found;01.01.1999;-72.821110;75.421670;(-72.821110, 75.421670)
Queen Alexandra Range 99453;21899;Valid;L5;282.10000000000002;Found;01.01.1999;-84.000000;168.000000;(-84.000000, 168.000000)
Elephant Moraine 83242;7883;Valid;L5;282.10000000000002;Found;01.01.1983;-76.297220;157.233330;(-76.297220, 157.233330)
El Médano 164;57312;Valid;H5;282;Found;01.01.2011;-24.850000;-70.533330;(-24.850000, -70.533330)
Dar al Gani 121;5671;Valid;H6;282;Found;01.01.1996;27.104670;16.011670;(27.104670, 16.011670)
Allan Hills 88005;1049;Valid;L6;282;Found;01.01.1988;-76.716670;159.666670;(-76.716670, 159.666670)
San Pedro de Quiles;23130;Valid;L6;282;Fell;01.01.1956;-31.016670;-71.400000;(-31.016670, -71.400000)
Wray (a);24338;Valid;H4-an;281.7;Found;01.01.1936;40.050000;-102.200000;(40.050000, -102.200000)
Thiel Mountains 82401;23913;Valid;L6;281.60000000000002;Found;01.01.1982;-85.164690;-94.651110;(-85.164690, -94.651110)
Yamato 791431;26780;Valid;L6;281.60000000000002;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Grosvenor Mountains 95547;11275;Valid;H6;281.5;Found;01.01.1995;-85.666670;175.000000;(-85.666670, 175.000000)
Dhofar 1030;6833;Valid;H5;281.10000000000002;Found;01.01.2003;19.332630;54.778220;(19.332630, 54.778220)
Dhofar 492;7253;Valid;H;281;Found;01.01.2001;18.711670;54.653330;(18.711670, 54.653330)
